,ID,CREATED_DATE,BIRTH_DATE,STATE,LANGUAGE,GENDER,RECEIPT_ID,PURCHASE_DATE,SCAN_DATE,STORE_NAME,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,FINAL_QUANTITY_NUMERIC,FINAL_SALE_NUMERIC,BARCODE_str,AGE_WHEN_CREATION,PURCHASE_DATE_CT,AGE_WHEN_PURCHASING,AGE_WHEN_PURCHASING_MO,TIME_AS_USER_WHEN_PURCHASING,TIME_AS_USER_WHEN_PURCHASING_MO
227,6661ed1e7c0469953bfc76c4,2024-06-06 17:08:46+00:00,1991-05-02 00:00:00+00:00,FL,en,female,79e10b66-d5c5-420d-9f46-7536ab4f5eca,2024-07-23,2024-07-23 13:37:52.396 Z,WALMART,6661ed1e7c0469953bfc76c4,38000138416.0,1.00,2.00,1.0,2.0,38000138416.0,33.0,2024-07-23 00:00:00+00:00,33.0,398.0,0.0,1.0
228,5fcd25273f814c1271450841,2020-12-06 18:38:31+00:00,1972-11-15 00:00:00+00:00,NE,en,female,485d2ad5-e57e-4ec8-8483-11ac2fcac205,2024-06-30,2024-07-01 16:10:53.883 Z,ALDI,5fcd25273f814c1271450841,,zero,2.95,0.0,2.95,nan,48.0,2024-06-30 00:00:00+00:00,51.0,619.0,3.0,42.0
229,5fcd25273f814c1271450841,2020-12-06 18:38:31+00:00,1972-11-15 00:00:00+00:00,NE,en,female,485d2ad5-e57e-4ec8-8483-11ac2fcac205,2024-06-30,2024-07-01 16:10:53.883 Z,ALDI,5fcd25273f814c1271450841,,1.00,2.95,1.0,2.95,nan,48.0,2024-06-30 00:00:00+00:00,51.0,619.0,3.0,42.0
230,5f21e60446f11314a16015de,2020-07-29 21:11:32+00:00,1980-07-29 04:00:00+00:00,NC,en,male,ad7ae593-7a85-4e94-b05f-21d6ffe95210,2024-07-10,2024-07-10 12:15:23.728 Z,FOOD LION,5f21e60446f11314a16015de,44000006990.0,zero,5.19,0.0,5.19,44000006990.0,40.0,2024-07-10 00:00:00+00:00,43.0,527.0,3.0,47.0
231,5f21e60446f11314a16015de,2020-07-29 21:11:32+00:00,1980-07-29 04:00:00+00:00,NC,en,male,e8540dd0-adb0-432b-82a4-0e9e9afa9a0f,2024-08-21,2024-08-22 10:00:01.173 Z,FOOD LION,5f21e60446f11314a16015de,14100047070.0,zero,3.79,0.0,3.79,14100047070.0,40.0,2024-08-21 00:00:00+00:00,44.0,528.0,4.0,48.0
232,5f21e60446f11314a16015de,2020-07-29 21:11:32+00:00,1980-07-29 04:00:00+00:00,NC,en,male,ad7ae593-7a85-4e94-b05f-21d6ffe95210,2024-07-10,2024-07-10 12:15:23.728 Z,FOOD LION,5f21e60446f11314a16015de,44000006990.0,1.00,5.19,1.0,5.19,44000006990.0,40.0,2024-07-10 00:00:00+00:00,43.0,527.0,3.0,47.0
233,5f21e60446f11314a16015de,2020-07-29 21:11:32+00:00,1980-07-29 04:00:00+00:00,NC,en,male,e8540dd0-adb0-432b-82a4-0e9e9afa9a0f,2024-08-21,2024-08-22 10:00:01.173 Z,FOOD LION,5f21e60446f11314a16015de,14100047070.0,1.00,3.79,1.0,3.79,14100047070.0,40.0,2024-08-21 00:00:00+00:00,44.0,528.0,4.0,48.0
234,63b4d64d9f3fc9c75475950a,2023-01-04 01:28:45+00:00,1973-09-17 00:00:00+00:00,CT,en,female,ae3b027c-a535-40a1-a28e-abb07eabe890,2024-07-26,2024-07-27 05:35:18.260 Z,KEY FOOD FRESH,63b4d64d9f3fc9c75475950a,311111885753.0,zero,0.67,0.0,0.67,311111885753.0,49.0,2024-07-26 00:00:00+00:00,50.0,610.0,1.0,18.0
235,63b4d64d9f3fc9c75475950a,2023-01-04 01:28:45+00:00,1973-09-17 00:00:00+00:00,CT,en,female,ae3b027c-a535-40a1-a28e-abb07eabe890,2024-07-26,2024-07-27 05:35:18.260 Z,KEY FOOD FRESH,63b4d64d9f3fc9c75475950a,311111885753.0,1.00,0.67,1.0,0.67,311111885753.0,49.0,2024-07-26 00:00:00+00:00,50.0,610.0,1.0,18.0
236,5ca54049adfcb4140b54e1bf,2019-04-03 23:22:49+00:00,1990-06-14 04:00:00+00:00,NC,en,female,0cdf9b13-d700-437c-8e2a-4452bb6f2506,2024-09-07,2024-09-07 13:25:24.501 Z,MC,5ca54049adfcb4140b54e1bf,876274001858.0,1.00, ,1.0,,876274001858.0,28.0,2024-09-07 00:00:00+00:00,34.0,410.0,5.0,65.0
237,5ca54049adfcb4140b54e1bf,2019-04-03 23:22:49+00:00,1990-06-14 04:00:00+00:00,NC,en,female,b4b2cfc1-8f57-41e6-825c-d7958ef49384,2024-08-05,2024-08-05 14:31:52.497 Z,FOOD LION,5ca54049adfcb4140b54e1bf,311111128836.0,1.00, ,1.0,,311111128836.0,28.0,2024-08-05 00:00:00+00:00,34.0,409.0,5.0,64.0
238,5ca54049adfcb4140b54e1bf,2019-04-03 23:22:49+00:00,1990-06-14 04:00:00+00:00,NC,en,female,0cdf9b13-d700-437c-8e2a-4452bb6f2506,2024-09-07,2024-09-07 13:25:24.501 Z,MC,5ca54049adfcb4140b54e1bf,876274001858.0,1.00,1.25,1.0,1.25,876274001858.0,28.0,2024-09-07 00:00:00+00:00,34.0,410.0,5.0,65.0
